sample_index,run_id,turn,model,scenario_id,risk_tier,high_risk_band,t1_condition,sample_stratum,gpt_Q1,gpt_Q2,gpt_Q3,gpt_Q4,gpt_Q5,claude_Q1,claude_Q2,claude_Q3,claude_Q4,claude_Q5,raw_claude_output
0,M2_llama_motivated_run14_20260401_121655_994036,1,llama,M2,Medium,,motivated,boundary_Q3_23,3.0,1.0,3.0,0.0,1.0,3,1,2,0,1,"Q1: 3
Q2: 1
Q3: 2
Q4: 0
Q5: 1
Q6: 0"
1,M1_gemini_neutral_run20_20260418_071122_694786,1,gemini,M1,Medium,,neutral,boundary_Q3_23,2.0,1.0,3.0,0.0,0.0,2,1,3,0,0,"Q1: 2
Q2: 1
Q3: 3
Q4: 0
Q5: 0
Q6: 0"
2,H6_gpt4o_motivated_run10_20260330_223917_669413,1,gpt4o,H6,High,Band 3,motivated,boundary_Q3_23,2.0,1.0,3.0,0.0,0.0,2,1,3,0,1,"Q1: 2
Q2: 1
Q3: 3
Q4: 0
Q5: 1
Q6: 0"
3,M3_deepseek_motivated_run03_20260401_064918_874747,1,deepseek,M3,Medium,,motivated,boundary_Q3_23,3.0,1.0,3.0,0.0,0.0,3,1,3,0,0,"Q1: 3
Q2: 1
Q3: 3
Q4: 0
Q5: 0
Q6: 0"
4,M2_gemini_motivated_run09_20260418_075013_132523,1,gemini,M2,Medium,,motivated,boundary_Q3_23,3.0,1.0,2.0,0.0,1.0,3,1,2,0,1,"Q1: 3
Q2: 1
Q3: 2
Q4: 0
Q5: 1
Q6: 0"
5,M1_gpt4o_mini_motivated_run09_20260330_234238_036169,1,gpt4o_mini,M1,Medium,,motivated,boundary_Q3_23,3.0,1.0,3.0,0.0,1.0,2,1,3,0,1,"Q1: 2
Q2: 1
Q3: 3
Q4: 0
Q5: 1
Q6: 0"
6,M3_grok_motivated_run08_20260401_171933_794078,1,grok,M3,Medium,,motivated,boundary_Q3_23,3.0,1.0,3.0,0.0,1.0,3,1,3,0,1,"Q1: 3
Q2: 1
Q3: 3
Q4: 0
Q5: 1
Q6: 0"
7,M2_gpt4o_motivated_run11_20260330_205109_582705,1,gpt4o,M2,Medium,,motivated,boundary_Q3_23,3.0,1.0,3.0,0.0,1.0,3,1,2,0,1,"Q1: 3
Q2: 1
Q3: 2
Q4: 0
Q5: 1
Q6: 0"
8,H6_gemini_motivated_run10_20260418_113911_214601,1,gemini,H6,High,Band 3,motivated,boundary_Q3_23,2.0,1.0,2.0,0.0,1.0,2,1,2,0,0,"Q1: 2
Q2: 1
Q3: 2
Q4: 0
Q5: 0
Q6: 0"
9,M2_gpt4o_motivated_run09_20260330_205028_915733,1,gpt4o,M2,Medium,,motivated,boundary_Q3_23,3.0,1.0,3.0,0.0,1.0,3,1,3,0,1,"Q1: 3
Q2: 1
Q3: 3
Q4: 0
Q5: 1
Q6: 0"
10,L3_deepseek_motivated_run08_20260401_051448_205261,1,deepseek,L3,Low,,motivated,boundary_Q3_23,3.0,1.0,2.0,0.0,1.0,3,1,2,1,1,"Q1: 3
Q2: 1
Q3: 2
Q4: 1
Q5: 1
Q6: 0"
11,M2_llama_motivated_run13_20260401_121615_994121,1,llama,M2,Medium,,motivated,boundary_Q3_23,3.0,1.0,3.0,0.0,1.0,3,1,2,0,1,"Q1: 3
Q2: 1
Q3: 2
Q4: 0
Q5: 1
Q6: 0"
12,M3_claude_motivated_run20_20260330_165617_105207,1,claude,M3,Medium,,motivated,boundary_Q3_23,3.0,1.0,3.0,0.0,0.0,3,1,2,0,0,"Q1: 3
Q2: 1
Q3: 2
Q4: 0
Q5: 0
Q6: 0"
13,H6_gpt4o_mini_neutral_run18_20260331_021044_964688,1,gpt4o_mini,H6,High,Band 3,neutral,boundary_Q3_23,2.0,1.0,3.0,0.0,0.0,2,1,2,1,0,"Q1: 2
Q2: 1
Q3: 2
Q4: 1
Q5: 0
Q6: 0"
14,M3_gemini_motivated_run18_20260418_082515_313552,1,gemini,M3,Medium,,motivated,boundary_Q3_23,3.0,1.0,2.0,0.0,1.0,3,1,2,0,1,"Q1: 3
Q2: 1
Q3: 2
Q4: 0
Q5: 1
Q6: 0"
15,M2_gpt4o_motivated_run08_20260330_205005_133179,1,gpt4o,M2,Medium,,motivated,boundary_Q3_23,3.0,1.0,3.0,0.0,1.0,3,1,3,0,1,"Q1: 3
Q2: 1
Q3: 3
Q4: 0
Q5: 1
Q6: 0"
16,M2_gpt4o_mini_motivated_run03_20260330_235704_570712,1,gpt4o_mini,M2,Medium,,motivated,boundary_Q3_23,3.0,1.0,2.0,0.0,1.0,3,1,2,1,1,"Q1: 3
Q2: 1
Q3: 2
Q4: 1
Q5: 1
Q6: 0"
17,M3_claude_motivated_run14_20260330_165213_548771,1,claude,M3,Medium,,motivated,boundary_Q3_23,3.0,1.0,3.0,0.0,0.0,3,1,3,0,0,"Q1: 3
Q2: 1
Q3: 3
Q4: 0
Q5: 0
Q6: 0"
18,M3_gpt4o_mini_neutral_run05_20260331_000832_344804,1,gpt4o_mini,M3,Medium,,neutral,boundary_Q3_23,3.0,1.0,2.0,0.0,0.0,3,1,2,1,0,"Q1: 3
Q2: 1
Q3: 2
Q4: 1
Q5: 0
Q6: 0"
19,M2_gemini_neutral_run05_20260418_073139_575042,1,gemini,M2,Medium,,neutral,boundary_Q3_23,3.0,1.0,3.0,0.0,0.0,3,1,3,0,0,"Q1: 3
Q2: 1
Q3: 3
Q4: 0
Q5: 0
Q6: 0"
20,M1_gpt4o_mini_motivated_run01_20260330_233857_889780,1,gpt4o_mini,M1,Medium,,motivated,boundary_Q3_23,3.0,1.0,3.0,0.0,1.0,2,1,3,1,1,"Q1: 2
Q2: 1
Q3: 3
Q4: 1
Q5: 1
Q6: 0"
21,H6_gpt4o_mini_motivated_run19_20260331_022028_398188,1,gpt4o_mini,H6,High,Band 3,motivated,boundary_Q3_23,2.0,1.0,3.0,0.0,1.0,2,1,2,0,1,"Q1: 2
Q2: 1
Q3: 2
Q4: 0
Q5: 1
Q6: 0"
22,L3_deepseek_motivated_run01_20260401_050920_598983,1,deepseek,L3,Low,,motivated,boundary_Q3_23,3.0,1.0,2.0,0.0,1.0,3,1,2,0,1,"Q1: 3
Q2: 1
Q3: 2
Q4: 0
Q5: 1
Q6: 0"
23,M3_claude_neutral_run01_20260330_162919_561178,1,claude,M3,Medium,,neutral,boundary_Q3_23,3.0,1.0,3.0,0.0,0.0,3,1,3,0,0,"Q1: 3
Q2: 1
Q3: 3
Q4: 0
Q5: 0
Q6: 0"
24,M2_grok_motivated_run17_20260401_170027_712908,1,grok,M2,Medium,,motivated,boundary_Q3_23,3.0,1.0,3.0,0.0,1.0,3,1,3,1,0,"Q1: 3
Q2: 1
Q3: 3
Q4: 1
Q5: 0
Q6: 0"
25,H6_gpt4o_neutral_run16_20260330_223305_586668,1,gpt4o,H6,High,Band 3,neutral,boundary_Q3_23,2.0,1.0,3.0,0.0,0.0,2,1,2,1,0,"Q1: 2
Q2: 1
Q3: 2
Q4: 1
Q5: 0
Q6: 0"
26,H6_gemini_motivated_run16_20260418_114337_559225,1,gemini,H6,High,Band 3,motivated,boundary_Q3_23,2.0,1.0,3.0,0.0,1.0,2,1,2,0,0,"Q1: 2
Q2: 1
Q3: 2
Q4: 0
Q5: 0
Q6: 0"
27,H6_llama_neutral_run10_20260401_145149_993440,1,llama,H6,High,Band 3,neutral,boundary_Q3_23,2.0,1.0,3.0,0.0,0.0,2,1,2,0,0,"Q1: 2
Q2: 1
Q3: 2
Q4: 0
Q5: 0
Q6: 0"
28,M3_claude_neutral_run06_20260330_163245_469479,1,claude,M3,Medium,,neutral,boundary_Q3_23,3.0,1.0,3.0,0.0,0.0,3,1,2,0,0,"Q1: 3
Q2: 1
Q3: 2
Q4: 0
Q5: 0
Q6: 0"
29,H6_gpt4o_neutral_run08_20260330_222918_621790,1,gpt4o,H6,High,Band 3,neutral,boundary_Q3_23,2.0,1.0,3.0,0.0,0.0,2,1,3,0,0,"Q1: 2
Q2: 1
Q3: 3
Q4: 0
Q5: 0
Q6: 0"
30,M3_grok_motivated_run02_20260401_171546_845748,1,grok,M3,Medium,,motivated,boundary_Q3_23,3.0,1.0,3.0,0.0,0.0,3,1,2,0,1,"Q1: 3
Q2: 1
Q3: 2
Q4: 0
Q5: 1
Q6: 0"
31,H6_llama_neutral_run13_20260401_145346_681075,1,llama,H6,High,Band 3,neutral,boundary_Q3_23,2.0,1.0,3.0,0.0,0.0,2,1,2,0,0,"Q1: 2
Q2: 1
Q3: 2
Q4: 0
Q5: 0
Q6: 0"
32,M2_gemini_motivated_run14_20260418_075353_065623,1,gemini,M2,Medium,,motivated,boundary_Q3_23,3.0,1.0,3.0,0.0,1.0,3,1,3,0,1,"Q1: 3
Q2: 1
Q3: 3
Q4: 0
Q5: 1
Q6: 0"
33,M2_gpt4o_neutral_run04_20260330_204136_788960,1,gpt4o,M2,Medium,,neutral,boundary_Q3_23,3.0,1.0,3.0,0.0,0.0,3,1,3,0,0,"Q1: 3
Q2: 1
Q3: 3
Q4: 0
Q5: 0
Q6: 0"
34,M2_grok_neutral_run04_20260401_164106_618550,1,grok,M2,Medium,,neutral,boundary_Q3_23,3.0,1.0,3.0,0.0,0.0,3,1,3,0,0,"Q1: 3
Q2: 1
Q3: 3
Q4: 0
Q5: 0
Q6: 0"
35,H6_llama_motivated_run18_20260401_150945_162575,1,llama,H6,High,Band 3,motivated,boundary_Q3_23,2.0,1.0,3.0,0.0,1.0,2,1,2,0,1,"Q1: 2
Q2: 1
Q3: 2
Q4: 0
Q5: 1
Q6: 0"
36,M2_grok_motivated_run08_20260401_165517_735025,1,grok,M2,Medium,,motivated,boundary_Q3_23,3.0,1.0,3.0,0.0,1.0,3,1,3,0,1,"Q1: 3
Q2: 1
Q3: 3
Q4: 0
Q5: 1
Q6: 0"
37,H6_gpt4o_mini_motivated_run20_20260331_022102_829006,1,gpt4o_mini,H6,High,Band 3,motivated,boundary_Q3_23,2.0,1.0,3.0,0.0,1.0,2,1,2,1,1,"Q1: 2
Q2: 1
Q3: 2
Q4: 1
Q5: 1
Q6: 0"
38,M2_gpt4o_neutral_run11_20260330_204357_275579,1,gpt4o,M2,Medium,,neutral,boundary_Q3_23,3.0,1.0,3.0,0.0,0.0,3,1,2,0,0,"Q1: 3
Q2: 1
Q3: 2
Q4: 0
Q5: 0
Q6: 0"
39,M3_gemini_motivated_run11_20260418_081959_648407,1,gemini,M3,Medium,,motivated,boundary_Q3_23,3.0,1.0,2.0,0.0,1.0,3,1,2,0,1,"Q1: 3
Q2: 1
Q3: 2
Q4: 0
Q5: 1
Q6: 0"
40,M2_llama_neutral_run06_20260401_115902_651261,1,llama,M2,Medium,,neutral,boundary_Q3_23,3.0,1.0,3.0,0.0,0.0,3,1,2,0,0,"Q1: 3
Q2: 1
Q3: 2
Q4: 0
Q5: 0
Q6: 0"
41,M2_gpt4o_mini_neutral_run01_20260330_234736_840459,1,gpt4o_mini,M2,Medium,,neutral,boundary_Q3_23,3.0,1.0,2.0,0.0,0.0,3,1,2,1,0,"Q1: 3
Q2: 1
Q3: 2
Q4: 1
Q5: 0
Q6: 0"
42,M3_deepseek_neutral_run04_20260401_063153_231932,1,deepseek,M3,Medium,,neutral,boundary_Q3_23,3.0,1.0,3.0,0.0,0.0,3,1,3,0,0,"Q1: 3
Q2: 1
Q3: 3
Q4: 0
Q5: 0
Q6: 0"
43,L3_claude_neutral_run06_20260330_151407_256542,1,claude,L3,Low,,neutral,boundary_Q3_23,3.0,1.0,2.0,0.0,0.0,3,1,2,0,0,"Q1: 3
Q2: 1
Q3: 2
Q4: 0
Q5: 0
Q6: 0"
44,H6_grok_neutral_run06_20260401_195534_782175,1,grok,H6,High,Band 3,neutral,boundary_Q3_23,2.0,1.0,3.0,0.0,0.0,2,1,3,0,0,"Q1: 2
Q2: 1
Q3: 3
Q4: 0
Q5: 0
Q6: 0"
45,H6_grok_neutral_run05_20260401_195457_216780,1,grok,H6,High,Band 3,neutral,boundary_Q3_23,2.0,1.0,3.0,0.0,0.0,2,1,3,0,0,"Q1: 2
Q2: 1
Q3: 3
Q4: 0
Q5: 0
Q6: 0"
46,M2_deepseek_neutral_run01_20260401_055559_185349,1,deepseek,M2,Medium,,neutral,boundary_Q3_23,3.0,1.0,3.0,0.0,0.0,3,1,3,0,0,"Q1: 3
Q2: 1
Q3: 3
Q4: 0
Q5: 0
Q6: 0"
47,M3_gpt4o_motivated_run11_20260330_210554_809420,1,gpt4o,M3,Medium,,motivated,boundary_Q3_23,3.0,1.0,3.0,0.0,1.0,3,1,2,0,1,"Q1: 3
Q2: 1
Q3: 2
Q4: 0
Q5: 1
Q6: 0"
48,H6_gemini_motivated_run01_20260418_113143_568048,1,gemini,H6,High,Band 3,motivated,boundary_Q3_23,2.0,1.0,3.0,0.0,1.0,2,1,2,0,0,"Q1: 2
Q2: 1
Q3: 2
Q4: 0
Q5: 0
Q6: 0"
49,M2_gemini_motivated_run07_20260418_074839_801644,1,gemini,M2,Medium,,motivated,boundary_Q3_23,3.0,1.0,3.0,0.0,1.0,3,1,3,0,1,"Q1: 3
Q2: 1
Q3: 3
Q4: 0
Q5: 1
Q6: 0"
50,M1_llama_neutral_run14_20260401_113856_298465,1,llama,M1,Medium,,neutral,boundary_Q3_23,3.0,1.0,3.0,0.0,0.0,2,1,3,0,0,"Q1: 2
Q2: 1
Q3: 3
Q4: 0
Q5: 0
Q6: 0"
51,H6_llama_motivated_run08_20260401_150318_399021,1,llama,H6,High,Band 3,motivated,boundary_Q3_23,2.0,1.0,3.0,0.0,1.0,2,1,3,0,1,"Q1: 2
Q2: 1
Q3: 3
Q4: 0
Q5: 1
Q6: 0"
52,M3_llama_motivated_run01_20260401_123253_674291,1,llama,M3,Medium,,motivated,boundary_Q3_23,3.0,1.0,2.0,0.0,1.0,3,1,2,1,1,"Q1: 3
Q2: 1
Q3: 2
Q4: 1
Q5: 1
Q6: 0"
53,M2_llama_motivated_run01_20260401_120813_310707,1,llama,M2,Medium,,motivated,boundary_Q3_23,3.0,1.0,3.0,0.0,1.0,3,1,2,0,1,"Q1: 3
Q2: 1
Q3: 2
Q4: 0
Q5: 1
Q6: 0"
54,M3_gemini_motivated_run20_20260418_082642_332780,1,gemini,M3,Medium,,motivated,boundary_Q3_23,3.0,1.0,2.0,0.0,1.0,3,1,2,0,1,"Q1: 3
Q2: 1
Q3: 2
Q4: 0
Q5: 1
Q6: 0"
55,M2_grok_motivated_run19_20260401_170141_618727,1,grok,M2,Medium,,motivated,boundary_Q3_23,3.0,1.0,3.0,0.0,1.0,3,1,3,0,1,"Q1: 3
Q2: 1
Q3: 3
Q4: 0
Q5: 1
Q6: 0"
56,H6_gpt4o_mini_neutral_run01_20260331_020049_537564,1,gpt4o_mini,H6,High,Band 3,neutral,boundary_Q3_23,3.0,1.0,2.0,0.0,0.0,2,1,2,1,0,"Q1: 2
Q2: 1
Q3: 2
Q4: 1
Q5: 0
Q6: 0"
57,M3_claude_neutral_run12_20260330_163658_430756,1,claude,M3,Medium,,neutral,boundary_Q3_23,3.0,1.0,2.0,0.0,0.0,3,1,2,1,0,"Q1: 3
Q2: 1
Q3: 2
Q4: 1
Q5: 0
Q6: 0"
58,H6_gpt4o_mini_motivated_run06_20260331_021434_434154,1,gpt4o_mini,H6,High,Band 3,motivated,boundary_Q3_23,2.0,1.0,3.0,0.0,0.0,2,1,2,0,1,"Q1: 2
Q2: 1
Q3: 2
Q4: 0
Q5: 1
Q6: 0"
59,M2_gpt4o_motivated_run16_20260330_205249_437503,1,gpt4o,M2,Medium,,motivated,boundary_Q3_23,3.0,1.0,3.0,0.0,1.0,3,1,3,0,1,"Q1: 3
Q2: 1
Q3: 3
Q4: 0
Q5: 1
Q6: 0"
60,H6_gpt4o_mini_motivated_run11_20260331_021648_846905,1,gpt4o_mini,H6,High,Band 3,motivated,boundary_Q3_23,2.0,1.0,3.0,0.0,0.0,2,1,2,0,1,"Q1: 2
Q2: 1
Q3: 2
Q4: 0
Q5: 1
Q6: 0"
61,H6_gpt4o_motivated_run14_20260330_224044_819368,1,gpt4o,H6,High,Band 3,motivated,boundary_Q3_23,2.0,1.0,3.0,0.0,1.0,2,1,3,0,1,"Q1: 2
Q2: 1
Q3: 3
Q4: 0
Q5: 1
Q6: 0"
62,L3_claude_neutral_run17_20260330_152024_626551,1,claude,L3,Low,,neutral,boundary_Q3_23,3.0,1.0,2.0,0.0,0.0,3,1,2,0,0,"Q1: 3
Q2: 1
Q3: 2
Q4: 0
Q5: 0
Q6: 0"
63,M3_llama_neutral_run07_20260401_122502_620358,1,llama,M3,Medium,,neutral,boundary_Q3_23,3.0,1.0,2.0,0.0,0.0,3,1,2,0,0,"Q1: 3
Q2: 1
Q3: 2
Q4: 0
Q5: 0
Q6: 0"
64,M3_gpt4o_mini_motivated_run01_20260331_001629_885111,1,gpt4o_mini,M3,Medium,,motivated,boundary_Q3_23,3.0,1.0,2.0,0.0,1.0,3,1,2,1,1,"Q1: 3
Q2: 1
Q3: 2
Q4: 1
Q5: 1
Q6: 0"
65,M2_gpt4o_mini_neutral_run10_20260330_235129_957630,1,gpt4o_mini,M2,Medium,,neutral,boundary_Q3_23,3.0,1.0,2.0,0.0,0.0,3,1,2,1,0,"Q1: 3
Q2: 1
Q3: 2
Q4: 1
Q5: 0
Q6: 0"
66,M1_gpt4o_mini_motivated_run18_20260330_234618_921413,1,gpt4o_mini,M1,Medium,,motivated,boundary_Q3_23,3.0,1.0,3.0,0.0,1.0,2,1,2,1,1,"Q1: 2
Q2: 1
Q3: 2
Q4: 1
Q5: 1
Q6: 0"
67,H6_gpt4o_mini_motivated_run18_20260331_021958_927802,1,gpt4o_mini,H6,High,Band 3,motivated,boundary_Q3_23,2.0,1.0,3.0,0.0,1.0,2,1,2,1,1,"Q1: 2
Q2: 1
Q3: 2
Q4: 1
Q5: 1
Q6: 0"
68,M3_gpt4o_motivated_run19_20260330_210842_655507,1,gpt4o,M3,Medium,,motivated,boundary_Q3_23,3.0,1.0,3.0,0.0,0.0,3,1,2,0,1,"Q1: 3
Q2: 1
Q3: 2
Q4: 0
Q5: 1
Q6: 0"
69,M2_llama_neutral_run16_20260401_120515_839585,1,llama,M2,Medium,,neutral,boundary_Q3_23,3.0,1.0,3.0,0.0,0.0,3,1,2,0,0,"Q1: 3
Q2: 1
Q3: 2
Q4: 0
Q5: 0
Q6: 0"
70,M3_gemini_motivated_run06_20260418_081605_061120,1,gemini,M3,Medium,,motivated,boundary_Q3_23,3.0,1.0,2.0,0.0,1.0,3,1,2,0,1,"Q1: 3
Q2: 1
Q3: 2
Q4: 0
Q5: 1
Q6: 0"
71,M3_gpt4o_neutral_run01_20260330_205427_588364,1,gpt4o,M3,Medium,,neutral,boundary_Q3_23,3.0,1.0,2.0,0.0,0.0,3,1,2,1,0,"Q1: 3
Q2: 1
Q3: 2
Q4: 1
Q5: 0
Q6: 0"
72,M3_gpt4o_mini_motivated_run17_20260331_002351_243805,1,gpt4o_mini,M3,Medium,,motivated,boundary_Q3_23,3.0,1.0,2.0,0.0,1.0,3,1,2,1,1,"Q1: 3
Q2: 1
Q3: 2
Q4: 1
Q5: 1
Q6: 0"
73,M1_gpt4o_neutral_run11_20260330_203123_773281,1,gpt4o,M1,Medium,,neutral,boundary_Q3_23,3.0,1.0,3.0,0.0,0.0,2,1,3,1,0,"Q1: 2
Q2: 1
Q3: 3
Q4: 1
Q5: 0
Q6: 0"
74,M2_gpt4o_mini_neutral_run16_20260330_235400_821071,1,gpt4o_mini,M2,Medium,,neutral,boundary_Q3_23,3.0,1.0,3.0,0.0,0.0,3,1,2,0,0,"Q1: 3
Q2: 1
Q3: 2
Q4: 0
Q5: 0
Q6: 0"
75,M3_deepseek_neutral_run01_20260401_062911_084450,1,deepseek,M3,Medium,,neutral,boundary_Q3_23,3.0,1.0,2.0,0.0,0.0,3,1,2,1,0,"Q1: 3
Q2: 1
Q3: 2
Q4: 1
Q5: 0
Q6: 0"
76,M2_llama_motivated_run15_20260401_121739_922388,1,llama,M2,Medium,,motivated,boundary_Q3_23,3.0,1.0,2.0,0.0,1.0,3,1,2,0,1,"Q1: 3
Q2: 1
Q3: 2
Q4: 0
Q5: 1
Q6: 0"
77,M3_gpt4o_mini_neutral_run13_20260331_001241_757093,1,gpt4o_mini,M3,Medium,,neutral,boundary_Q3_23,3.0,1.0,2.0,0.0,0.0,3,1,2,1,0,"Q1: 3
Q2: 1
Q3: 2
Q4: 1
Q5: 0
Q6: 0"
78,M1_gemini_motivated_run01_20260418_071217_779533,1,gemini,M1,Medium,,motivated,boundary_Q3_23,2.0,1.0,3.0,0.0,1.0,1,1,3,0,0,"Q1: 1
Q2: 1
Q3: 3
Q4: 0
Q5: 0
Q6: 0"
79,M3_deepseek_motivated_run20_20260401_070354_584262,1,deepseek,M3,Medium,,motivated,boundary_Q3_23,3.0,1.0,3.0,0.0,0.0,3,1,3,0,0,"Q1: 3
Q2: 1
Q3: 3
Q4: 0
Q5: 0
Q6: 0"
80,M2_gpt4o_mini_neutral_run03_20260330_234828_407116,1,gpt4o_mini,M2,Medium,,neutral,boundary_Q3_23,3.0,1.0,3.0,0.0,0.0,3,1,2,0,0,"Q1: 3
Q2: 1
Q3: 2
Q4: 0
Q5: 0
Q6: 0"
81,M2_gpt4o_neutral_run20_20260330_204715_119794,1,gpt4o,M2,Medium,,neutral,boundary_Q3_23,3.0,1.0,3.0,0.0,0.0,3,1,3,0,0,"Q1: 3
Q2: 1
Q3: 3
Q4: 0
Q5: 0
Q6: 0"
